rank,as_of,canonical_title,role,platform,score,sources,trend_title,event,reasons
1,2026-08-21,Marvel's Wolverine,game,PlayStation 5,168.0,event_window,,Gamescom 2026,"Promote Marvel's Wolverine with the full Marvel catalog during X-Men '97 season 2 (Marvel) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-01-01 to 2026-12-31 with a play-before-you-watch lead-in. || Promote Marvel's Wolverine as the storefront equivalent of Devcom Developer Conference (Marvel's Wolverine, EA SPORTS FC 27, Madden NFL 27, NBA 2K27) for the full event runtime 2026-08-17 to 2026-08-19, with a expo lead-in and afterglow around those dates. || Promote Marvel's Wolverine as the storefront equivalent of Busan Indie Connect Festival (Indie / Korea, Marvel's Wolverine) for the full event runtime 2026-08-21 to 2026-08-23, with a expo lead-in and afterglow around those dates. || Promote Marvel's Wolverine as the storefront equivalent of Gamescom Opening Night Live 2026 (Marvel's Wolverine, EA SPORTS FC 27, Madden NFL 27, NBA 2K27) for the full event runtime 2026-08-25 to 2026-08-25, with a expo lead-in and afterglow around those dates."
2,2026-08-21,NBA 2K27,game,Steam,138.0,event_window,,Gamescom 2026,"Promote NBA 2K27 as the storefront equivalent of Devcom Developer Conference (Marvel's Wolverine, EA SPORTS FC 27, Madden NFL 27, NBA 2K27) for the full event runtime 2026-08-17 to 2026-08-19, with a expo lead-in and afterglow around those dates. || Promote NBA 2K27 as the storefront equivalent of Busan Indie Connect Festival (Indie / Korea, Marvel's Wolverine) for the full event runtime 2026-08-21 to 2026-08-23, with a expo lead-in and afterglow around those dates. || Promote NBA 2K27 as the storefront equivalent of Gamescom Opening Night Live 2026 (Marvel's Wolverine, EA SPORTS FC 27, Madden NFL 27, NBA 2K27) for the full event runtime 2026-08-25 to 2026-08-25, with a expo lead-in and afterglow around those dates. || Promote NBA 2K27 as the storefront equivalent of Future Games Show at Gamescom (Marvel's Wolverine, EA SPORTS FC 27, Madden NFL 27, NBA 2K27) for the full event runtime 2026-08-26 to 2026-08-30, with a expo lead-in and afterglow around those dates."
3,2026-08-21,God of War Ragnarok,game,Steam,49.5,wikipedia_pageviews|event_window,,God of War,"Wikipedia interest in “God of War” is 1.78× the recent baseline (49 vs 27 daily views, as of 2026-08-20). || Promote God of War Ragnarok as the storefront equivalent of God of War (God of War) for the full event runtime 2026-01-01 to 2026-12-31, with a adaptation lead-in and afterglow around those dates."
4,2026-08-21,Madden NFL 27,game,Nintendo,48.0,event_window,,NFL Season,"Promote Madden NFL 27 as the storefront equivalent of Madden NFL 27 release window (Madden NFL 27) for the full event runtime 2026-08-14 to 2026-08-28, with a default lead-in and afterglow around those dates. || Promote Madden NFL 27 as the storefront equivalent of NFL Season (Madden NFL, Madden NFL 27) for the full event runtime 2026-09-04 to 2027-02-08, with a sports lead-in and afterglow around those dates."
5,2026-08-21,Grand Theft Auto VI,game,Rockstar Games,39.5,wikipedia_pageviews,,,"Wikipedia interest in “Grand Theft Auto VI” is 2.67× the recent baseline (22,255 vs 8,347 daily views, as of 2026-08-20). || Wikipedia interest in “Grand Theft Auto” is 1.38× the recent baseline (5,064 vs 3,681 daily views, as of 2026-08-20)."
6,2026-08-21,Grand Theft Auto V Enhanced,game,Rockstar Games,39.5,wikipedia_pageviews,,,"Wikipedia interest in “Grand Theft Auto VI” is 2.67× the recent baseline (22,255 vs 8,347 daily views, as of 2026-08-20). || Wikipedia interest in “Grand Theft Auto” is 1.38× the recent baseline (5,064 vs 3,681 daily views, as of 2026-08-20)."
7,2026-08-21,Grand Theft Auto V Story Mode DLC,dlc,Xbox Live,19.75,wikipedia_pageviews,,,"Wikipedia interest in “Grand Theft Auto VI” is 2.67× the recent baseline (22,255 vs 8,347 daily views, as of 2026-08-20). || Wikipedia interest in “Grand Theft Auto” is 1.38× the recent baseline (5,064 vs 3,681 daily views, as of 2026-08-20)."
8,2026-08-21,God of War Sons of Sparta,game,PSN,19.5,wikipedia_pageviews,,,"Wikipedia interest in “God of War” is 1.78× the recent baseline (49 vs 27 daily views, as of 2026-08-20)."
9,2026-08-21,EA SPORTS Madden NFL 27,game,Steam,18.0,event_window,,Madden NFL 27 release window,"Promote EA SPORTS Madden NFL 27 as the storefront equivalent of Madden NFL 27 release window (Madden NFL 27) for the full event runtime 2026-08-14 to 2026-08-28, with a default lead-in and afterglow around those dates."
10,2026-08-21,EA SPORTS Madden NFL 27 Deluxe Edition,game,Steam,18.0,event_window,,Madden NFL 27 release window,"Promote EA SPORTS Madden NFL 27 Deluxe Edition as the storefront equivalent of Madden NFL 27 release window (Madden NFL 27) for the full event runtime 2026-08-14 to 2026-08-28, with a default lead-in and afterglow around those dates."
11,2026-08-21,Madden NFL 27 Deluxe Edition,game,PSN,18.0,event_window,,Madden NFL 27 release window,"Promote Madden NFL 27 Deluxe Edition as the storefront equivalent of Madden NFL 27 release window (Madden NFL 27) for the full event runtime 2026-08-14 to 2026-08-28, with a default lead-in and afterglow around those dates."
12,2026-08-21,EA SPORTS Madden NFL 26,game,EA Play,18.0,event_window,,NFL Season,"Promote EA SPORTS Madden NFL 26 as the storefront equivalent of NFL Season (Madden NFL, Madden NFL 27) for the full event runtime 2026-09-04 to 2027-02-08, with a sports lead-in and afterglow around those dates."
13,2026-08-21,F1 25 - 2026 Season Edition,game,EA Play,18.0,event_window,,F1 World Championship,"Promote F1 25 - 2026 Season Edition as the storefront equivalent of F1 World Championship (F1) for the full event runtime 2026-03-01 to 2026-12-08, with a sports lead-in and afterglow around those dates."
14,2026-08-21,Ace Combat Assault Horizon Enhanced Edition,game,Steam,18.0,event_window,,Horizon Zero Dawn,"Promote Ace Combat Assault Horizon Enhanced Edition as the storefront equivalent of Horizon Zero Dawn (Horizon) for the full event runtime 2026-01-01 to 2026-12-31, with a adaptation lead-in and afterglow around those dates."
15,2026-08-21,Anthro Heat,game,Steam,18.0,event_window,,Life Is Strange,"Promote Anthro Heat as the storefront equivalent of Life Is Strange (Life Is Strange) for the full event runtime 2026-01-01 to 2026-12-31, with a adaptation lead-in and afterglow around those dates."
