as_of,kind,change_type,title,field,before,after,source,detail
2026-08-28,product,confirmation_changed,Primitive Environment Survival,confirmation,announced,0,catalog,Confirmation announced → 0
2026-08-28,product,removed,A Tiny Wander,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Aeterna Lucis,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Alzara: Radiant Echoes,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Animal Use Protocol,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Blind Descent,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Bogdan's Cross,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Bokosuka Wars II,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Castaway Diary: Portal to the Unknown Isles,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Castle Come,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Control: Ultimate Edition,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Cosmo Tales,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Crystals of Irm,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Destiny Code,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Don't Kill Them All,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,DriveCrazy,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,EDEN.schemata();,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Endurance Motorsport Series,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Fate/EXTRA Record,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Final Formation,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Forge of the Fae,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Frostrail,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Golf With Your Friends 2,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Haruka: Beyond the Stars,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Hell of an Office,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Hunting Simulator 3,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Junxions,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Light Odyssey,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Lost Hellden,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Marvel 1943: Rise of Hydra,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Mightreya,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Mononoke no Kuni,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Nocturnal II,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Paranormal Activity: Found Footage,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Pararecords,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Professor Layton and the New World of Steam,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Prolegomena To a Hyperdimensional Interface That Will Be Able to Manifest From Three-Minute Interchanges,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Re:Ver Project: Tokyo,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Recur,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,"Reggie, His Cousin, Two Scientists and Most Likely the End of the World",presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,SacriFire,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Scriptorium: Master of Manuscripts,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Sea of Sorrow,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Serial World,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Shadow of the Road,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Sigma Star Saga,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Silent Planet,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Skyblivion,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Skyclimbers,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Starfinder: Afterlight,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Steampunk Shinobi,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Sunkissed City,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Tanuki: Pon's Summer,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Tenet of the Spark,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Ultra Mushroom,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Valkyrie of Phantasm,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Wolfhound,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Zaleste,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,SpongeBob: Krusty Cook-Off,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Tomba! Special Edition,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,I Am Future,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,The Brew Barons,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Hytale,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Temirana: The Lucky Princess and the Tragic Knights,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Animal Crossing: New Horizons,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,The Legend of Heroes: Trails Beyond the Horizon,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Mio: Memories in Orbit,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Arknights: Endfield,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,"Dwarves: Glory, Death and Loot",presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Dynasty Warriors: Origins,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,The Rumble Fish 2,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Fighting Force Collection,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Speedball,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Steel Century Groove,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,City Tales: Medieval Era,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,"Don’t Stop, Girlypop!",presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Dusk Index: Gion,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Project: Gorgon,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Front Mission 3: Remake,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Jimmy and the Pulsating Mass,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Lovish,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,PUBG: BLINDSPOT,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,JDM: Japanese Drift Master,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Primal Carnage: Evolution,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Shadows of the Afterland,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Fantasista Asuka,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Kingdom Come: Deliverance,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Caves of Qud,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Earnest Evans Collection,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Soulslinger: Envoy of Death,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,PC Building Simulator 2,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,The Fox's Way Home,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Japanese Rural Life Adventure,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Never Grave: The Witch and The Curse,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Methods: The Canada Files,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Peregrino,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Piece by Piece,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,The Liar Princess and the Blind Prince,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Yomawari: Lost in the Dark,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Pode,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Rustil: Eternal Labyrinth Castle,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Tower Tag,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Shadow Tactics: Blades of the Shogun,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Dragonkin: The Banished,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,The Coin Game,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,The Little Tomb: The Maholova Club and the Search for a Dead Body,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Mado Monogatari: Fia and the Wondrous Academy,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Tales of the Shire: A The Lord of the Rings Game,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Shinonome Abyss: The Maiden Exorcist,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,The Fifth Family,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Homura: The Crimson Warriors,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Lilac,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Castle of Shikigami III,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,The Weeping Swan: Ten Days of the City's Fall,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,The New Denpa Men,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Faith: The Unholy Trinity,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Memories Off Sōsō: Break out of my shell,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Skautfold: Moonless Knight,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Nekopara Sekai Connect,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Calamity Angels: Special Delivery,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Mongil: Star Dive,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Ereban: Shadow Legacy,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,OPUS: Prism Peak,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Smash It Wild,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Task Time,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Anemoi,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Mahou Arms,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Snail's Knock Out,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Spy Drops,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,WILL: Follow The Light,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Neverness to Everness,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Amnesia: Rebirth,presence,present,removed,wikidata,Product left the live dataset
2026-08-28,product,removed,Heroes of Might and Magic: Olden Era,presence,present,removed,wikidata,Product left the live dataset
