rank,as_of,canonical_title,role,platform,score,sources,trend_title,event,reasons
1,2026-08-17,BOKURA planet,game,Steam,78.0,event_window,,Busan Indie Connect Festival,"Promote BOKURA planet as the storefront equivalent of Devcom Developer Conference (Undergrounded, Star Ocean: The Second Story R, Dreamin' Her, The Dream Of A Cockspur) for the full event runtime 2026-08-17 to 2026-08-19, with a expo lead-in and afterglow around those dates. || Promote BOKURA planet as the storefront equivalent of Gamescom Opening Night Live (Star Ocean: The Second Story R, Dreamin' Her, The Dream Of A Cockspur, Suika Game) for the full event runtime 2026-08-19 to 2026-08-19, with a expo lead-in and afterglow around those dates. || Promote BOKURA planet as the storefront equivalent of Busan Indie Connect Festival (Indie / Korea, Star Ocean: The Second Story R) for the full event runtime 2026-08-21 to 2026-08-23, with a expo lead-in and afterglow around those dates."
2,2026-08-17,NBA 2K27,game,Steam,70.0,google_trends|event_window,kevin durant rockets trade rumors,NBA 2K27 release window,"Google Trends (US) lists “kevin durant rockets trade rumors” (2000+ searches). Highlight equivalent catalog games today. Related coverage: Projected Blockbuster NBA Trade Sends Kevin Durant & Jalen Duren to Cavaliers (Yahoo Sports). || Promote NBA 2K27 as the storefront equivalent of NBA 2K27 release window (NBA 2K27) for the full event runtime 2026-08-14 to 2026-09-18, with a default lead-in and afterglow around those dates."
3,2026-08-17,Madden NFL 27,game,Nintendo,58.0,google_trends|event_window,quarterback,Madden NFL 27 release window,"Google Trends (DE) lists “quarterback” (100+ searches). Highlight equivalent catalog games today. Related coverage: The Breakdown: A Promising Performance to Open the Preseason (Baltimore Ravens). || Promote Madden NFL 27 as the storefront equivalent of Madden NFL 27 release window (Madden NFL 27) for the full event runtime 2026-07-24 to 2026-08-28, with a default lead-in and afterglow around those dates."
4,2026-08-17,Hashire Hebereke: EX,game,Multi,48.0,event_window,,Hashire Hebereke: EX,"Promote Hashire Hebereke: EX as the storefront equivalent of Hashire Hebereke: EX release window (Hashire Hebereke: EX) for the full event runtime 2026-08-13 to 2026-09-17, with a default lead-in and afterglow around those dates. || Promote Hashire Hebereke: EX as the storefront equivalent of Hashire Hebereke: EX (Hashire Hebereke) for the full event runtime 2026-09-03 to 2026-09-03, with a adaptation lead-in and afterglow around those dates."
5,2026-08-17,NBA 2K26,game,Nintendo,40.0,google_trends,kevin durant rockets trade rumors,,Google Trends (US) lists “kevin durant rockets trade rumors” (2000+ searches). Highlight equivalent catalog games today. Related coverage: Projected Blockbuster NBA Trade Sends Kevin Durant & Jalen Duren to Cavaliers (Yahoo Sports).
6,2026-08-17,TopSpin 2K25,game,Steam,38.0,google_trends,taylor fritz,,Google Trends (DE) lists “taylor fritz” (1000+ searches). Highlight equivalent catalog games today. Related coverage: US-Tennisstar rastet aus und zertrümmert Schläger (n-tv.de).
7,2026-08-17,Mario Tennis Fever,game,Nintendo,31.010299956639813,google_trends,cam vaughn,,Google Trends (US) lists “cam vaughn” (200+ searches). Highlight equivalent catalog games today. Related coverage: Miami Hurricanes dismiss WR transfer Cam Vaughn from team (ESPN).
8,2026-08-17,Mario Kart World,game,Nintendo,31.010299956639813,google_trends,cam vaughn,,Google Trends (US) lists “cam vaughn” (200+ searches). Highlight equivalent catalog games today. Related coverage: Miami Hurricanes dismiss WR transfer Cam Vaughn from team (ESPN).
9,2026-08-17,EA SPORTS Madden NFL 26,game,EA Play,28.0,google_trends,quarterback,,Google Trends (DE) lists “quarterback” (100+ searches). Highlight equivalent catalog games today. Related coverage: The Breakdown: A Promising Performance to Open the Preseason (Baltimore Ravens).
10,2026-08-17,"NBA 2K26 35,000 Virtual Currency Pack",dlc,Steam,20.0,google_trends,kevin durant rockets trade rumors,,Google Trends (US) lists “kevin durant rockets trade rumors” (2000+ searches). Highlight equivalent catalog games today. Related coverage: Projected Blockbuster NBA Trade Sends Kevin Durant & Jalen Duren to Cavaliers (Yahoo Sports).
11,2026-08-17,F1 25 - 2026 Season Edition,game,EA Play,18.0,event_window,,F1 World Championship,"Promote F1 25 - 2026 Season Edition as the storefront equivalent of F1 World Championship (F1) for the full event runtime 2026-03-01 to 2026-12-08, with a sports lead-in and afterglow around those dates."
12,2026-08-17,1666: Amsterdam,game,Multi,18.0,event_window,,1666: Amsterdam release window,"Promote 1666: Amsterdam as the storefront equivalent of 1666: Amsterdam release window (1666: Amsterdam) for the full event runtime 2026-08-04 to 2026-09-08, with a default lead-in and afterglow around those dates."
13,2026-08-17,Angeline Era,game,Multi,18.0,event_window,,Angeline Era release window,"Promote Angeline Era as the storefront equivalent of Angeline Era release window (Angeline Era) for the full event runtime 2026-08-12 to 2026-09-16, with a default lead-in and afterglow around those dates."
14,2026-08-17,Blazblue Entropy Effect X,game,Nintendo,18.0,event_window,,BlazBlue Entropy Effect X,"Promote Blazblue Entropy Effect X as the storefront equivalent of BlazBlue Entropy Effect X (BlazBlue Entropy Effect) for the full event runtime 2026-08-13 to 2026-08-13, with a adaptation lead-in and afterglow around those dates."
15,2026-08-17,Brave Dungeon: The Meaning of Justice,game,Multi,18.0,event_window,,Brave Dungeon: The Meaning of Justice release window,"Promote Brave Dungeon: The Meaning of Justice as the storefront equivalent of Brave Dungeon: The Meaning of Justice release window (Brave Dungeon: The Meaning of Justice) for the full event runtime 2026-07-18 to 2026-08-22, with a default lead-in and afterglow around those dates."
