rank,as_of,canonical_title,role,platform,score,sources,trend_title,event,reasons
1,2026-08-27,BOKURA planet,game,Steam,138.0,event_window,,PAX West,"Promote BOKURA planet as the storefront equivalent of Gamescom Opening Night Live (Star Ocean: The Second Story R, Dreamin' Her, K-pop Idol Stories: Road to Debut, The Dream Of A Cockspur) for the full event runtime 2026-08-25 to 2026-08-25, with a expo lead-in and afterglow around those dates. || Promote BOKURA planet as the storefront equivalent of Gamescom Opening Night Live 2026 (Star Ocean: The Second Story R, Dreamin' Her, K-pop Idol Stories: Road to Debut, The Dream Of A Cockspur) for the full event runtime 2026-08-25 to 2026-08-25, with a expo lead-in and afterglow around those dates. || Promote BOKURA planet as the storefront equivalent of Future Games Show at Gamescom (Star Ocean: The Second Story R, Dreamin' Her, K-pop Idol Stories: Road to Debut, The Dream Of A Cockspur) for the full event runtime 2026-08-26 to 2026-08-30, with a expo lead-in and afterglow around those dates. || Promote BOKURA planet as the storefront equivalent of Gamescom 2026 (Star Ocean: The Second Story R, Dreamin' Her, K-pop Idol Stories: Road to Debut, The Dream Of A Cockspur) for the full event runtime 2026-08-26 to 2026-08-30, with a expo lead-in and afterglow around those dates."
2,2026-08-27,Star Ocean: The Second Story R,game,Multi,138.0,event_window,,PAX West,"Promote Star Ocean: The Second Story R as the storefront equivalent of Gamescom Opening Night Live (Star Ocean: The Second Story R, Dreamin' Her, K-pop Idol Stories: Road to Debut, The Dream Of A Cockspur) for the full event runtime 2026-08-25 to 2026-08-25, with a expo lead-in and afterglow around those dates. || Promote Star Ocean: The Second Story R as the storefront equivalent of Gamescom Opening Night Live 2026 (Star Ocean: The Second Story R, Dreamin' Her, K-pop Idol Stories: Road to Debut, The Dream Of A Cockspur) for the full event runtime 2026-08-25 to 2026-08-25, with a expo lead-in and afterglow around those dates. || Promote Star Ocean: The Second Story R as the storefront equivalent of Future Games Show at Gamescom (Star Ocean: The Second Story R, Dreamin' Her, K-pop Idol Stories: Road to Debut, The Dream Of A Cockspur) for the full event runtime 2026-08-26 to 2026-08-30, with a expo lead-in and afterglow around those dates. || Promote Star Ocean: The Second Story R as the storefront equivalent of Gamescom 2026 (Star Ocean: The Second Story R, Dreamin' Her, K-pop Idol Stories: Road to Debut, The Dream Of A Cockspur) for the full event runtime 2026-08-26 to 2026-08-30, with a expo lead-in and afterglow around those dates."
3,2026-08-27,Madden NFL 27,game,Nintendo,48.0,event_window,,NFL Season,"Promote Madden NFL 27 as the storefront equivalent of Madden NFL 27 release window (Madden NFL 27) for the full event runtime 2026-08-14 to 2026-08-28, with a default lead-in and afterglow around those dates. || Promote Madden NFL 27 as the storefront equivalent of NFL Season (Madden NFL, Madden NFL 27) for the full event runtime 2026-09-04 to 2027-02-08, with a sports lead-in and afterglow around those dates."
4,2026-08-27,Aggelos 2,game,Nintendo,48.0,event_window,,Trails in the Sky 2nd Chapter,"Promote Aggelos 2 as the storefront equivalent of Golden Axe (Golden Axe) for the full event runtime 2026-09-16 to 2026-09-16, with a adaptation lead-in and afterglow around those dates. || Promote Aggelos 2 as the storefront equivalent of Trails in the Sky 2nd Chapter (The Legend of Heroes: Trails in the Sky SC) for the full event runtime 2026-09-17 to 2026-09-17, with a adaptation lead-in and afterglow around those dates."
5,2026-08-27,Deadpool Uncut,game,Steam,48.0,event_window,,Spider-Man: Brand New Day,"Promote Deadpool Uncut with the full Marvel catalog during X-Men '97 season 2 (Marvel, Marvel 1943: Rise of Hydra) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-01-01 to 2026-12-31 with a play-before-you-watch lead-in. || Promote Deadpool Uncut with the full Marvel catalog during Spider-Man: Brand New Day (Marvel, Marvel 1943: Rise of Hydra) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-07-31 to 2026-08-13 with a play-before-you-watch lead-in."
6,2026-08-27,Hashire Hebereke: EX,game,Multi,48.0,event_window,,Hashire Hebereke: EX release window,"Promote Hashire Hebereke: EX as the storefront equivalent of Hashire Hebereke: EX (Hashire Hebereke) for the full event runtime 2026-09-03 to 2026-09-03, with a adaptation lead-in and afterglow around those dates. || Promote Hashire Hebereke: EX as the storefront equivalent of Hashire Hebereke: EX release window (Hashire Hebereke: EX) for the full event runtime 2026-09-03 to 2026-09-17, with a default lead-in and afterglow around those dates."
7,2026-08-27,LEGO MARVEL COLLECTION,game,Xbox Live,48.0,event_window,,Spider-Man: Brand New Day,"Promote LEGO MARVEL COLLECTION with the full Marvel catalog during X-Men '97 season 2 (Marvel, Marvel 1943: Rise of Hydra) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-01-01 to 2026-12-31 with a play-before-you-watch lead-in. || Promote LEGO MARVEL COLLECTION with the full Marvel catalog during Spider-Man: Brand New Day (Marvel, Marvel 1943: Rise of Hydra) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-07-31 to 2026-08-13 with a play-before-you-watch lead-in."
8,2026-08-27,LEGO Marvel Avengers,game,Steam,48.0,event_window,,Spider-Man: Brand New Day,"Promote LEGO Marvel Avengers with the full Marvel catalog during X-Men '97 season 2 (Marvel, Marvel 1943: Rise of Hydra) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-01-01 to 2026-12-31 with a play-before-you-watch lead-in. || Promote LEGO Marvel Avengers with the full Marvel catalog during Spider-Man: Brand New Day (Marvel, Marvel 1943: Rise of Hydra) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-07-31 to 2026-08-13 with a play-before-you-watch lead-in."
9,2026-08-27,LEGO Marvel Super Heroes,game,Xbox Live,48.0,event_window,,Spider-Man: Brand New Day,"Promote LEGO Marvel Super Heroes with the full Marvel catalog during X-Men '97 season 2 (Marvel, Marvel 1943: Rise of Hydra) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-01-01 to 2026-12-31 with a play-before-you-watch lead-in. || Promote LEGO Marvel Super Heroes with the full Marvel catalog during Spider-Man: Brand New Day (Marvel, Marvel 1943: Rise of Hydra) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-07-31 to 2026-08-13 with a play-before-you-watch lead-in."
10,2026-08-27,LEGO Marvel Super Heroes 2,game,Xbox Live,48.0,event_window,,Spider-Man: Brand New Day,"Promote LEGO Marvel Super Heroes 2 with the full Marvel catalog during X-Men '97 season 2 (Marvel, Marvel 1943: Rise of Hydra) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-01-01 to 2026-12-31 with a play-before-you-watch lead-in. || Promote LEGO Marvel Super Heroes 2 with the full Marvel catalog during Spider-Man: Brand New Day (Marvel, Marvel 1943: Rise of Hydra) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-07-31 to 2026-08-13 with a play-before-you-watch lead-in."
11,2026-08-27,LEGO Marvel's Avengers,game,Xbox Live,48.0,event_window,,Spider-Man: Brand New Day,"Promote LEGO Marvel's Avengers with the full Marvel catalog during X-Men '97 season 2 (Marvel, Marvel 1943: Rise of Hydra) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-01-01 to 2026-12-31 with a play-before-you-watch lead-in. || Promote LEGO Marvel's Avengers with the full Marvel catalog during Spider-Man: Brand New Day (Marvel, Marvel 1943: Rise of Hydra) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-07-31 to 2026-08-13 with a play-before-you-watch lead-in."
12,2026-08-27,LEGO: Marvel's Avengers Deluxe Edition,game,Xbox Live,48.0,event_window,,Spider-Man: Brand New Day,"Promote LEGO: Marvel's Avengers Deluxe Edition with the full Marvel catalog during X-Men '97 season 2 (Marvel, Marvel 1943: Rise of Hydra) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-01-01 to 2026-12-31 with a play-before-you-watch lead-in. || Promote LEGO: Marvel's Avengers Deluxe Edition with the full Marvel catalog during Spider-Man: Brand New Day (Marvel, Marvel 1943: Rise of Hydra) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-07-31 to 2026-08-13 with a play-before-you-watch lead-in."
13,2026-08-27,MARVEL Cosmic Invasion,game,Nintendo,48.0,event_window,,Spider-Man: Brand New Day,"Promote MARVEL Cosmic Invasion with the full Marvel catalog during X-Men '97 season 2 (Marvel, Marvel 1943: Rise of Hydra) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-01-01 to 2026-12-31 with a play-before-you-watch lead-in. || Promote MARVEL Cosmic Invasion with the full Marvel catalog during Spider-Man: Brand New Day (Marvel, Marvel 1943: Rise of Hydra) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-07-31 to 2026-08-13 with a play-before-you-watch lead-in."
14,2026-08-27,MARVEL Tōkon Fighting Souls,game,Steam,48.0,event_window,,Spider-Man: Brand New Day,"Promote MARVEL Tōkon Fighting Souls with the full Marvel catalog during X-Men '97 season 2 (Marvel, Marvel 1943: Rise of Hydra) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-01-01 to 2026-12-31 with a play-before-you-watch lead-in. || Promote MARVEL Tōkon Fighting Souls with the full Marvel catalog during Spider-Man: Brand New Day (Marvel, Marvel 1943: Rise of Hydra) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-07-31 to 2026-08-13 with a play-before-you-watch lead-in."
15,2026-08-27,MARVEL Tōkon Fighting Souls Digital Deluxe Edition,game,Steam,48.0,event_window,,Spider-Man: Brand New Day,"Promote MARVEL Tōkon Fighting Souls Digital Deluxe Edition with the full Marvel catalog during X-Men '97 season 2 (Marvel, Marvel 1943: Rise of Hydra) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-01-01 to 2026-12-31 with a play-before-you-watch lead-in. || Promote MARVEL Tōkon Fighting Souls Digital Deluxe Edition with the full Marvel catalog during Spider-Man: Brand New Day (Marvel, Marvel 1943: Rise of Hydra) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-07-31 to 2026-08-13 with a play-before-you-watch lead-in."
