as_of,kind,change_type,title,field,before,after,source,detail
2026-08-27,product,added,Golf With Your Friends 2,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,Recur,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,Scriptorium: Master of Manuscripts,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,Skyclimbers,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,Nekopara Sekai Connect,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,WILL: Follow The Light,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,Perennial Dusk: Kinsenka,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,Magical Girl Witch Trials,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,K-pop Idol Stories: Road to Debut,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,ARTIUS: Pure Imagination,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,Agni: Village of Calamity,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,Anima: Song from the Abyss,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,Arma 4,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,Back in Time,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,Beaten Path,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,Calame,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,Crescent County,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,Cytus II,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,Everbloom,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,Final Fantasy XIV: Evercold,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,Frame Zero,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,Frostpunk: 1886,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,Gobble,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,Hatsune Miku: Starry Party,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,HellHeart Breaker,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,Ill,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,Impermanence,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,Itachi: Haunted Abodes – Wandering Through 2000s Tokyo Culture,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,Kidbash: Super Legend,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,Kingdom Hearts IV,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,Knock Off: The Battle for Imagination,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,Long Gone,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,Memoria Wake,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,My Brother Hacker,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,Oni Zero: Cross,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,Piggy One Super Spark,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,Pokémon Waves,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,Pokémon Winds,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,Quiet Express: Cabin 909,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,SUPER DEBT,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,TAL: The Arcane Lands,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,The Detectorist Guild,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,The Lift,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,The Pines,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,The Witcher 3: Wild Hunt – Songs of the Past,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,Tiny Metal 2,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,Vivarium,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,Warota: I Live Next to The Demon King's Castle LOL,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,Welcome to Brightville,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,Yokai Batting Game in Kawagoe,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,over the hill,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,Astrostrike,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,Demi and the Fractured Dream,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,Tideward,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,JOIN US,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,Just a simulation,presence,,added,wikidata,New product entered the live dataset
2026-08-27,product,added,KharkivVision 2035,presence,,added,wikidata,New product entered the live dataset
