as_of,kind,change_type,title,field,before,after,source,detail
2026-08-18,product,added,Doom: The Dark Ages,presence,,added,"Bethesda / id Software — May 15, 2025",New product entered the live dataset
2026-08-18,product,added,Death Stranding 2: On the Beach,presence,,added,"Kojima Productions / PlayStation — PS5 Jun 26, 2025 (PC Mar 19, 2026)",New product entered the live dataset
2026-08-18,product,added,Mafia: The Old Country,presence,,added,"2K Newsroom — Aug 8, 2025",New product entered the live dataset
2026-08-18,product,added,Hollow Knight: Silksong,presence,,added,"Team Cherry — Sep 4, 2025",New product entered the live dataset
2026-08-18,product,added,Ghost of Yōtei,presence,,added,"PlayStation Blog — Oct 2, 2025",New product entered the live dataset
2026-08-18,product,added,Metroid Prime 4: Beyond,presence,,added,"Nintendo — Dec 4, 2025",New product entered the live dataset
2026-08-18,product,added,Marvel's Wolverine,presence,,added,"Marvel.com / PlayStation Store / Insomniac — Sep 15, 2026",New product entered the live dataset
2026-08-18,product,added,OD,presence,,added,announced_registry,New product entered the live dataset
2026-08-18,product,added,Assassin's Creed Codename Hexe,presence,,added,announced_registry,New product entered the live dataset
2026-08-18,product,added,Chronicles of Darkness,presence,,added,announced_registry,New product entered the live dataset
2026-08-18,product,added,The Witcher 4,presence,,added,announced_registry,New product entered the live dataset
2026-08-18,product,added,Intergalactic: The Heretic Prophet,presence,,added,announced_registry,New product entered the live dataset
2026-08-18,product,added,Okami 2,presence,,added,announced_registry,New product entered the live dataset
2026-08-18,product,added,BioShock 4,presence,,added,announced_registry,New product entered the live dataset
2026-08-18,product,added,The Elder Scrolls VI,presence,,added,announced_registry,New product entered the live dataset
2026-08-18,product,added,ACE COMBAT 8 - WINGS OF THEVE,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,ACE COMBAT 8 - WINGS OF THEVE Deluxe Edition,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,ACE COMBAT 8 WINGS OF THEVE,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Aggelos 2,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Aliens Fireteam Elite 2,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Am I Nima,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,ANOMALITH,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Another Eden Begins,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,BeastLink,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,BioEden,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Breathedge 2,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Brigador Killers,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,BRIGANDINE ABYSS,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Bus Simulator 27,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Bus Simulator 27 Year 1 Edition,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Call of Duty - Modern Warfare 4,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Call of Duty - Modern Warfare 4 Vault Edition,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Call of Duty Modern Warfare 4 - Vault Edition Upgrade DLC,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,CALX,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,CAPTAIN TSUBASA 2 WORLD FIGHTERS - Deluxe Edition,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,CAPTAIN TSUBASA 2 WORLD FIGHTERS - Ultimate Edition,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,CAPTAIN TSUBASA 2 WORLD FIGHTERS,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Castlevania - Belmont's Curse,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Castlevania - Belmont's Curse Midnight Edition,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Castlevania Belmont's Curse,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Clive Barker's Hellraiser Revival,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,CONTROL Resonant,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,CONTROL Resonant Digital Deluxe Edition,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Cozy Game Restoration,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Cozy Marbles,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Cupid Paraside,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Detective Sherlock - Shadow Stalker,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Dimraeth,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Disney/Pixar Toy Story 3 Complete Edition,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Dragon Quest Monsters The Witchered World,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Dragon Shelter,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Dragon's Dogma 2 - Dark Arisen,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Dragon's Dogma 2 - Dark Arisen Expansion DLC,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Droid Escape,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Dungeon Settlers,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Dungeons And Cat,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Dynasty Warriors 3 Complete Edition Remastered,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Dynasty Warriors 3 Complete Edition Remastered Digital Deluxe Edition,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,EA SPORTS FC 27,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,EA SPORTS FC 27 Ultimate Edition,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,EA SPORTS FC 27 Ultimate Plus Edition,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,ELDEN RING Tarnished Edition,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Emberville,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,End of Abyss,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Fable,presence,,added,"Xbox / Playground Games — Feb 23, 2027",New product entered the live dataset
2026-08-18,product,added,Fable Premium Edition,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Fable Premium Upgrade DLC,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Farming Simulator 25 Signature Edition,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,FINAL FANTASY RESONANCE,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,FINAL FANTASY RESONANCE Digital Deluxe Edition,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Fire Emblem Fortune’s Weave,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Forever Ago,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Gallipoli,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Garfield – Escape From Monday,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Gears of War E-Day,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Gears of War E-Day Premium Edition,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Gears of War E-Day Premium Upgrade DLC,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Godzilla Destroy All Monsters Melee Remastered,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Grand Theft Auto VI,presence,,added,Rockstar Games / Take-Two — rockstargames.com/VI,New product entered the live dataset
2026-08-18,product,added,Halloween The Game,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Hearth and Hamlet,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,HOT WHEELS Infinite Rush,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,HOT WHEELS Infinite Rush Deluxe Edition,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,HOT WHEELS Infinite Rush Ultimate Edition,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Hyrule Warriors Age of Imprisonment,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Infinity HexaDome Tactics,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,JackHammer Demolition Dodgeball,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Kingdom Rush 6 Genesis TD,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Last Pirates Die Together,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Lou's Lagoon,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Madden NFL 27,presence,,added,announced_registry,New product entered the live dataset
2026-08-18,product,added,Magical Blush,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Marvel’s Wolverine,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Metal Gear Solid Master Collection Vol. 2,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Minecraft Dungeons II,presence,,added,catalog,New product entered the live dataset
2026-08-18,product,added,Minecraft Dungeons II Deluxe Edition,presence,,added,catalog,New product entered the live dataset
