rank,as_of,canonical_title,role,platform,score,sources,trend_title,event,reasons
1,2026-08-18,Madden NFL 27,game,PSN,48.0,event_window,,Madden NFL 27 release window,"Promote Madden NFL 27 as the storefront equivalent of PS5 release window (PS5) for the full event runtime 2026-01-01 to 2026-12-31, with a default lead-in and afterglow around those dates. || Promote Madden NFL 27 as the storefront equivalent of Madden NFL 27 release window (Madden NFL 27) for the full event runtime 2026-08-14 to 2026-08-28, with a default lead-in and afterglow around those dates."
2,2026-08-18,BlazBlue Entropy Effect X – Nintendo Switch 2 Edition,game,NS2,48.0,event_window,,BlazBlue Entropy Effect X – Nintendo Switch 2 Edition release window,"Promote BlazBlue Entropy Effect X – Nintendo Switch 2 Edition as the storefront equivalent of BlazBlue Entropy Effect X (BlazBlue Entropy Effect) for the full event runtime 2026-08-13 to 2026-08-13, with a adaptation lead-in and afterglow around those dates. || Promote BlazBlue Entropy Effect X – Nintendo Switch 2 Edition as the storefront equivalent of BlazBlue Entropy Effect X – Nintendo Switch 2 Edition release window (BlazBlue Entropy Effect X – Nintendo Switch 2 Edition) for the full event runtime 2026-08-13 to 2026-08-27, with a default lead-in and afterglow around those dates."
3,2026-08-18,DROID,game,RPG,48.0,event_window,,"DROID, iOS release window","Promote DROID as the storefront equivalent of DROID release window (DROID) for the full event runtime 2026-01-01 to 2026-12-31, with a default lead-in and afterglow around those dates. || Promote DROID as the storefront equivalent of DROID, iOS release window (DROID, iOS) for the full event runtime 2026-01-01 to 2026-12-31, with a default lead-in and afterglow around those dates."
4,2026-08-18,Octopath Traveler II,game,Multi,48.0,event_window,,Gamescom Opening Night Live 2026,"Promote Octopath Traveler II as the storefront equivalent of Gamescom Opening Night Live (Octopath Traveler II, Digimon UP, Star Ocean: The Second Story R, Dreamin' Her) for the full event runtime 2026-08-25 to 2026-08-25, with a expo lead-in and afterglow around those dates. || Promote Octopath Traveler II as the storefront equivalent of Gamescom Opening Night Live 2026 (Octopath Traveler II, Digimon UP, Star Ocean: The Second Story R, Dreamin' Her) for the full event runtime 2026-08-25 to 2026-08-25, with a expo lead-in and afterglow around those dates."
5,2026-08-18,Quest Master,game,Steam,48.0,event_window,,"WIN, PSVR, Quest release window","Promote Quest Master as the storefront equivalent of Quest release window (Quest) for the full event runtime 2026-01-01 to 2026-12-31, with a default lead-in and afterglow around those dates. || Promote Quest Master as the storefront equivalent of WIN, PSVR, Quest release window (WIN, PSVR, Quest) for the full event runtime 2026-01-01 to 2026-12-31, with a default lead-in and afterglow around those dates."
6,2026-08-18,Star Wars: Galactic Racer,game,WIN,48.0,event_window,,D23: The Ultimate Disney Fan Event,"Promote Star Wars: Galactic Racer as the storefront equivalent of D23 (Star Wars: Galactic Racer, STAR WARS Zero Company) for the full event runtime 2026-08-14 to 2026-08-16, with a expo lead-in and afterglow around those dates. || Promote Star Wars: Galactic Racer as the storefront equivalent of D23: The Ultimate Disney Fan Event (Star Wars: Galactic Racer, STAR WARS Zero Company) for the full event runtime 2026-08-14 to 2026-08-16, with a expo lead-in and afterglow around those dates."
7,2026-08-18,WIN,game,DCCG,48.0,event_window,,"WIN, PSVR, Quest release window","Promote WIN as the storefront equivalent of WIN release window (WIN) for the full event runtime 2026-01-01 to 2026-12-31, with a default lead-in and afterglow around those dates. || Promote WIN as the storefront equivalent of WIN, PSVR, Quest release window (WIN, PSVR, Quest) for the full event runtime 2026-01-01 to 2026-12-31, with a default lead-in and afterglow around those dates."
8,2026-08-18,Metro 2033 Redux,game,Epic Games,18.0,event_window,,Epic Games release window,"Promote Metro 2033 Redux as the storefront equivalent of Epic Games release window (Epic Games) for the full event runtime 2026-01-01 to 2026-12-31, with a default lead-in and afterglow around those dates."
9,2026-08-18,F1 25 - 2026 Season Edition,game,EA Play,18.0,event_window,,F1 World Championship,"Promote F1 25 - 2026 Season Edition as the storefront equivalent of F1 World Championship (F1) for the full event runtime 2026-03-01 to 2026-12-08, with a sports lead-in and afterglow around those dates."
10,2026-08-18,EA SPORTS FC 25,game,Ubisoft Connect,18.0,event_window,,Ubisoft release window,"Promote EA SPORTS FC 25 as the storefront equivalent of Ubisoft release window (Ubisoft) for the full event runtime 2026-01-01 to 2026-12-31, with a default lead-in and afterglow around those dates."
