as_of,kind,change_type,title,field,before,after,source,detail
2026-08-24,product,added,A Tiny Wander,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Aeterna Lucis,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Alzara: Radiant Echoes,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Animal Use Protocol,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Blind Descent,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Bogdan's Cross,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Bokosuka Wars II,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Castaway Diary: Portal to the Unknown Isles,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Castle Come,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Control: Ultimate Edition,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Cosmo Tales,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Crystals of Irm,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Destiny Code,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Don't Kill Them All,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,DriveCrazy,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,EDEN.schemata();,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Endurance Motorsport Series,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Fate/EXTRA Record,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Final Formation,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Forge of the Fae,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Frostrail,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Golf With Your Friends 2,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Haruka: Beyond the Stars,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Hell of an Office,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Hunting Simulator 3,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Infinite Alliance,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Infinitesimals,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Junxions,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Light Odyssey,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Lost Hellden,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Marvel 1943: Rise of Hydra,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Mononoke no Kuni,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,On Donuts and Holes,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Paranormal Activity: Found Footage,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Pararecords,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Professor Layton and the New World of Steam,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Prolegomena To a Hyperdimensional Interface That Will Be Able to Manifest From Three-Minute Interchanges,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Recur,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,"Reggie, His Cousin, Two Scientists and Most Likely the End of the World",presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,SacriFire,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Scriptorium: Master of Manuscripts,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Sea of Sorrow,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Serial World,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Shadow of the Road,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Sigma Star Saga,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Silent Planet,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Skyblivion,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Skyclimbers,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Starfinder: Afterlight,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Steampunk Shinobi,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Sunkissed City,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Tanuki: Pon's Summer,presence,,added,wikidata,New product entered the live dataset
2026-08-24,product,added,Tenet of the Spark,presence,,added,wikidata,New product entered the live dataset
