rank,as_of,canonical_title,role,platform,score,sources,trend_title,event,reasons
1,2026-08-31,BOKURA planet,game,Steam,78.0,event_window,,PAX West,"Promote BOKURA planet as the storefront equivalent of Future Games Show at Gamescom (Star Ocean: The Second Story R, Dreamin' Her, The Dream Of A Cockspur, Suika Game) for the full event runtime 2026-08-26 to 2026-08-30, with a expo lead-in and afterglow around those dates. || Promote BOKURA planet as the storefront equivalent of Gamescom 2026 (Star Ocean: The Second Story R, Dreamin' Her, The Dream Of A Cockspur, Suika Game) for the full event runtime 2026-08-26 to 2026-08-30, with a expo lead-in and afterglow around those dates. || Promote BOKURA planet as the storefront equivalent of PAX West (The Dream Of A Cockspur, Suika Game, Prelude: Dark Pain, BOKURA) for the full event runtime 2026-09-04 to 2026-09-07, with a expo lead-in and afterglow around those dates."
2,2026-08-31,Grand Theft Auto VI,game,Rockstar Games,53.0,wikipedia_pageviews,,,"Wikipedia interest in “Grand Theft Auto” is 2.73× the recent baseline (15,515 vs 5,681 daily views, as of 2026-08-30). || Wikipedia interest in “Grand Theft Auto VI” is 1.92× the recent baseline (42,843 vs 22,320 daily views, as of 2026-08-30)."
3,2026-08-31,Grand Theft Auto V Enhanced,game,Rockstar Games,53.0,wikipedia_pageviews,,,"Wikipedia interest in “Grand Theft Auto” is 2.73× the recent baseline (15,515 vs 5,681 daily views, as of 2026-08-30). || Wikipedia interest in “Grand Theft Auto VI” is 1.92× the recent baseline (42,843 vs 22,320 daily views, as of 2026-08-30)."
4,2026-08-31,Madden NFL 27,game,Nintendo,48.0,event_window,,NFL Season,"Promote Madden NFL 27 as the storefront equivalent of Madden NFL 27 release window (Madden NFL 27) for the full event runtime 2026-08-14 to 2026-08-28, with a default lead-in and afterglow around those dates. || Promote Madden NFL 27 as the storefront equivalent of NFL Season (Madden NFL, Madden NFL 27) for the full event runtime 2026-09-04 to 2027-02-08, with a sports lead-in and afterglow around those dates."
5,2026-08-31,Hashire Hebereke: EX,game,Multi,48.0,event_window,,Hashire Hebereke: EX release window,"Promote Hashire Hebereke: EX as the storefront equivalent of Hashire Hebereke: EX (Hashire Hebereke) for the full event runtime 2026-09-03 to 2026-09-03, with a adaptation lead-in and afterglow around those dates. || Promote Hashire Hebereke: EX as the storefront equivalent of Hashire Hebereke: EX release window (Hashire Hebereke: EX) for the full event runtime 2026-09-03 to 2026-09-17, with a default lead-in and afterglow around those dates."
6,2026-08-31,Star Ocean: The Second Story R,game,Multi,48.0,event_window,,Gamescom 2026,"Promote Star Ocean: The Second Story R as the storefront equivalent of Future Games Show at Gamescom (Star Ocean: The Second Story R, Dreamin' Her, The Dream Of A Cockspur, Suika Game) for the full event runtime 2026-08-26 to 2026-08-30, with a expo lead-in and afterglow around those dates. || Promote Star Ocean: The Second Story R as the storefront equivalent of Gamescom 2026 (Star Ocean: The Second Story R, Dreamin' Her, The Dream Of A Cockspur, Suika Game) for the full event runtime 2026-08-26 to 2026-08-30, with a expo lead-in and afterglow around those dates."
7,2026-08-31,Pokémon Winds,game,Multi,31.010299956639813,google_trends,pokemon wild card,,"Google Trends (US) lists “pokemon wild card” (200+ searches). Highlight equivalent catalog games today. Related coverage: ‘Pokémon: Wild Card’ Movie Sets 2027 Release Date, Drops Anime Teaser Starring Trading Card Game Player (Variety)."
8,2026-08-31,Pokemon Champions,game,Nintendo,31.010299956639813,google_trends,pokemon wild card,,"Google Trends (US) lists “pokemon wild card” (200+ searches). Highlight equivalent catalog games today. Related coverage: ‘Pokémon: Wild Card’ Movie Sets 2027 Release Date, Drops Anime Teaser Starring Trading Card Game Player (Variety)."
9,2026-08-31,Grand Theft Auto V Story Mode DLC,dlc,Xbox Live,26.5,wikipedia_pageviews,,,"Wikipedia interest in “Grand Theft Auto” is 2.73× the recent baseline (15,515 vs 5,681 daily views, as of 2026-08-30). || Wikipedia interest in “Grand Theft Auto VI” is 1.92× the recent baseline (42,843 vs 22,320 daily views, as of 2026-08-30)."
10,2026-08-31,EA SPORTS Madden NFL 27,game,Steam,18.0,event_window,,Madden NFL 27 release window,"Promote EA SPORTS Madden NFL 27 as the storefront equivalent of Madden NFL 27 release window (Madden NFL 27) for the full event runtime 2026-08-14 to 2026-08-28, with a default lead-in and afterglow around those dates."
