rank,as_of,canonical_title,role,platform,score,sources,trend_title,event,reasons
1,2026-09-01,The Last of Us Part II Remastered,game,Steam,61.01029995663981,google_trends|event_window,the last of us,The Last of Us S3,"Google Trends (DE) lists “the last of us” (200+ searches). Highlight equivalent catalog games today. Related coverage: 'It would be really Last of Us' — Asobo Games says it would 'love' to make a potential modern-day sequel to Resonance: A Plague Tale Legacy, since Naughty Dog's The Last of Us 'was a big inspiration' (Yahoo Tech). || Promote The Last of Us Part II Remastered as the storefront equivalent of The Last of Us S3 (The Last of Us) for the full event runtime 2026-01-01 to 2026-12-31, with a adaptation lead-in and afterglow around those dates."
2,2026-09-01,The Last of Us Part I,game,Steam,61.01029995663981,google_trends|event_window,the last of us,The Last of Us S3,"Google Trends (DE) lists “the last of us” (200+ searches). Highlight equivalent catalog games today. Related coverage: 'It would be really Last of Us' — Asobo Games says it would 'love' to make a potential modern-day sequel to Resonance: A Plague Tale Legacy, since Naughty Dog's The Last of Us 'was a big inspiration' (Yahoo Tech). || Promote The Last of Us Part I as the storefront equivalent of The Last of Us S3 (The Last of Us) for the full event runtime 2026-01-01 to 2026-12-31, with a adaptation lead-in and afterglow around those dates."
3,2026-09-01,Hashire Hebereke: EX,game,WIN,48.0,event_window,,Hashire Hebereke: EX release window,"Promote Hashire Hebereke: EX as the storefront equivalent of Hashire Hebereke: EX (Hashire Hebereke) for the full event runtime 2026-09-03 to 2026-09-03, with a adaptation lead-in and afterglow around those dates. || Promote Hashire Hebereke: EX as the storefront equivalent of Hashire Hebereke: EX release window (Hashire Hebereke: EX) for the full event runtime 2026-09-03 to 2026-09-17, with a default lead-in and afterglow around those dates."
4,2026-09-01,Marvel's Wolverine,game,PlayStation 5,48.0,event_window,,PlayStation State of Play September 2026,"Promote Marvel's Wolverine with the full Marvel catalog during X-Men '97 season 2 (Marvel, Marvel 1943: Rise of Hydra) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-01-01 to 2026-12-31 with a play-before-you-watch lead-in. || Promote Marvel's Wolverine as the storefront equivalent of PlayStation State of Play September 2026 (PlayStation, Final Fantasy VII Revelation, Marvel's Wolverine, Dissidia Duellum Final Fantasy) for the full event runtime 2026-09-03 to 2026-09-03, with a expo lead-in and afterglow around those dates."
5,2026-09-01,Nostalgic Train,game,Multi,48.0,event_window,,Golden Axe,"Promote Nostalgic Train as the storefront equivalent of Nostalgic Train release window (Nostalgic Train) for the full event runtime 2026-08-26 to 2026-09-09, with a default lead-in and afterglow around those dates. || Promote Nostalgic Train as the storefront equivalent of Golden Axe (Golden Axe) for the full event runtime 2026-09-16 to 2026-09-16, with a adaptation lead-in and afterglow around those dates."
6,2026-09-01,Octopath Traveler II,game,Multi,48.0,event_window,,Gamescom 2026,"Promote Octopath Traveler II as the storefront equivalent of Future Games Show at Gamescom (Octopath Traveler II, Digimon UP, Star Ocean: The Second Story R, Dreamin' Her) for the full event runtime 2026-08-26 to 2026-08-30, with a expo lead-in and afterglow around those dates. || Promote Octopath Traveler II as the storefront equivalent of Gamescom 2026 (Octopath Traveler II, Digimon UP, Star Ocean: The Second Story R, Dreamin' Her) for the full event runtime 2026-08-26 to 2026-08-30, with a expo lead-in and afterglow around those dates."
7,2026-09-01,Grand Theft Auto VI,game,Rockstar Games,30.0,wikipedia_pageviews,,,"Wikipedia interest in “Grand Theft Auto” is 2.24× the recent baseline (13,856 vs 6,190 daily views, as of 2026-08-31)."
8,2026-09-01,Grand Theft Auto V Enhanced,game,Rockstar Games,30.0,wikipedia_pageviews,,,"Wikipedia interest in “Grand Theft Auto” is 2.24× the recent baseline (13,856 vs 6,190 daily views, as of 2026-08-31)."
9,2026-09-01,Madden NFL 27,game,Nintendo,18.0,event_window,,NFL Season,"Promote Madden NFL 27 as the storefront equivalent of NFL Season (Madden NFL, Madden NFL 27) for the full event runtime 2026-09-04 to 2027-02-08, with a sports lead-in and afterglow around those dates."
10,2026-09-01,NBA 2K27,game,Steam,18.0,event_window,,NBA 2K27 release window,"Promote NBA 2K27 as the storefront equivalent of NBA 2K27 release window (NBA 2K27) for the full event runtime 2026-09-04 to 2026-09-18, with a default lead-in and afterglow around those dates."
11,2026-09-01,EA SPORTS Madden NFL 26,game,EA Play,18.0,event_window,,NFL Season,"Promote EA SPORTS Madden NFL 26 as the storefront equivalent of NFL Season (Madden NFL, Madden NFL 27) for the full event runtime 2026-09-04 to 2027-02-08, with a sports lead-in and afterglow around those dates."
12,2026-09-01,F1 25 - 2026 Season Edition,game,EA Play,18.0,event_window,,F1 World Championship,"Promote F1 25 - 2026 Season Edition as the storefront equivalent of F1 World Championship (F1) for the full event runtime 2026-03-01 to 2026-12-08, with a sports lead-in and afterglow around those dates."
13,2026-09-01,12–13,game,Blizzard Entertainment will host BlizzCon 2026 at Anaheim Convention Center in Anaheim,18.0,event_window,,12–13 release window,"Promote 12–13 as the storefront equivalent of 12–13 release window (12–13) for the full event runtime 2026-09-01 to 2026-09-30, with a default lead-in and afterglow around those dates."
14,2026-09-01,1666: Amsterdam,game,Multi,18.0,event_window,,1666: Amsterdam release window,"Promote 1666: Amsterdam as the storefront equivalent of 1666: Amsterdam release window (1666: Amsterdam) for the full event runtime 2026-08-25 to 2026-09-08, with a default lead-in and afterglow around those dates."
15,2026-09-01,Ace Combat Assault Horizon Enhanced Edition,game,Steam,18.0,event_window,,Horizon Zero Dawn,"Promote Ace Combat Assault Horizon Enhanced Edition as the storefront equivalent of Horizon Zero Dawn (Horizon, The Legend of Heroes: Trails Beyond the Horizon) for the full event runtime 2026-01-01 to 2026-12-31, with a adaptation lead-in and afterglow around those dates."
