rank,as_of,canonical_title,role,platform,score,sources,trend_title,event,reasons
1,2026-09-02,BOKURA planet,game,Steam,78.0,event_window,,PAX West,"Promote BOKURA planet as the storefront equivalent of Future Games Show at Gamescom (Star Ocean: The Second Story R, Dreamin' Her, K-pop Idol Stories: Road to Debut, The Dream Of A Cockspur) for the full event runtime 2026-08-26 to 2026-08-30, with a expo lead-in and afterglow around those dates. || Promote BOKURA planet as the storefront equivalent of Gamescom 2026 (Star Ocean: The Second Story R, Dreamin' Her, K-pop Idol Stories: Road to Debut, The Dream Of A Cockspur) for the full event runtime 2026-08-26 to 2026-08-30, with a expo lead-in and afterglow around those dates. || Promote BOKURA planet as the storefront equivalent of PAX West (The Dream Of A Cockspur, Suika Game, Prelude: Dark Pain, BOKURA) for the full event runtime 2026-09-04 to 2026-09-07, with a expo lead-in and afterglow around those dates."
2,2026-09-02,Ghost of Yōtei,game,PlayStation 5,78.0,event_window,,PlayStation State of Play September 2026,"Promote Ghost of Yōtei as the storefront equivalent of Ghost of Tsushima (Ghost of Tsushima, Ghost of Yōtei) for the full event runtime 2026-01-01 to 2026-12-31, with a adaptation lead-in and afterglow around those dates. || Promote Ghost of Yōtei as the storefront equivalent of PlayStation State of Play Japan September 2026 (PlayStation, Japan / Asia studios, The Dream Of A Cockspur) for the full event runtime 2026-09-03 to 2026-09-03, with a expo lead-in and afterglow around those dates. || Promote Ghost of Yōtei as the storefront equivalent of PlayStation State of Play September 2026 (PlayStation, Final Fantasy VII Revelation, Marvel's Wolverine, Final Fantasy XIV: Evercold) for the full event runtime 2026-09-03 to 2026-09-03, with a expo lead-in and afterglow around those dates."
3,2026-09-02,Marvel's Wolverine,game,PlayStation 5,78.0,event_window,,PlayStation State of Play September 2026,"Promote Marvel's Wolverine with the full Marvel catalog during X-Men '97 season 2 (Marvel, Marvel 1943: Rise of Hydra) — existing and upcoming Marvel games, not only the film's lead character. Runtime 2026-01-01 to 2026-12-31 with a play-before-you-watch lead-in. || Promote Marvel's Wolverine as the storefront equivalent of PlayStation State of Play Japan September 2026 (PlayStation, Japan / Asia studios, The Dream Of A Cockspur) for the full event runtime 2026-09-03 to 2026-09-03, with a expo lead-in and afterglow around those dates. || Promote Marvel's Wolverine as the storefront equivalent of PlayStation State of Play September 2026 (PlayStation, Final Fantasy VII Revelation, Marvel's Wolverine, Final Fantasy XIV: Evercold) for the full event runtime 2026-09-03 to 2026-09-03, with a expo lead-in and afterglow around those dates."
4,2026-09-02,Astro Bot,game,PSN,48.0,event_window,,PlayStation State of Play September 2026,"Promote Astro Bot as the storefront equivalent of PlayStation State of Play Japan September 2026 (PlayStation, Japan / Asia studios, The Dream Of A Cockspur) for the full event runtime 2026-09-03 to 2026-09-03, with a expo lead-in and afterglow around those dates. || Promote Astro Bot as the storefront equivalent of PlayStation State of Play September 2026 (PlayStation, Final Fantasy VII Revelation, Marvel's Wolverine, Final Fantasy XIV: Evercold) for the full event runtime 2026-09-03 to 2026-09-03, with a expo lead-in and afterglow around those dates."
5,2026-09-02,Bloodborne,game,PSN,48.0,event_window,,PlayStation State of Play September 2026,"Promote Bloodborne as the storefront equivalent of PlayStation State of Play Japan September 2026 (PlayStation, Japan / Asia studios, The Dream Of A Cockspur) for the full event runtime 2026-09-03 to 2026-09-03, with a expo lead-in and afterglow around those dates. || Promote Bloodborne as the storefront equivalent of PlayStation State of Play September 2026 (PlayStation, Final Fantasy VII Revelation, Marvel's Wolverine, Final Fantasy XIV: Evercold) for the full event runtime 2026-09-03 to 2026-09-03, with a expo lead-in and afterglow around those dates."
6,2026-09-02,DEATH STRANDING 2 - ON THE BEACH,game,Steam,48.0,event_window,,PlayStation State of Play September 2026,"Promote DEATH STRANDING 2 - ON THE BEACH as the storefront equivalent of PlayStation State of Play Japan September 2026 (PlayStation, Japan / Asia studios, The Dream Of A Cockspur) for the full event runtime 2026-09-03 to 2026-09-03, with a expo lead-in and afterglow around those dates. || Promote DEATH STRANDING 2 - ON THE BEACH as the storefront equivalent of PlayStation State of Play September 2026 (PlayStation, Final Fantasy VII Revelation, Marvel's Wolverine, Final Fantasy XIV: Evercold) for the full event runtime 2026-09-03 to 2026-09-03, with a expo lead-in and afterglow around those dates."
7,2026-09-02,Days Gone,game,Steam,48.0,event_window,,PlayStation State of Play September 2026,"Promote Days Gone as the storefront equivalent of PlayStation State of Play Japan September 2026 (PlayStation, Japan / Asia studios, The Dream Of A Cockspur) for the full event runtime 2026-09-03 to 2026-09-03, with a expo lead-in and afterglow around those dates. || Promote Days Gone as the storefront equivalent of PlayStation State of Play September 2026 (PlayStation, Final Fantasy VII Revelation, Marvel's Wolverine, Final Fantasy XIV: Evercold) for the full event runtime 2026-09-03 to 2026-09-03, with a expo lead-in and afterglow around those dates."
8,2026-09-02,Days Gone Remastered,game,PSN,48.0,event_window,,PlayStation State of Play September 2026,"Promote Days Gone Remastered as the storefront equivalent of PlayStation State of Play Japan September 2026 (PlayStation, Japan / Asia studios, The Dream Of A Cockspur) for the full event runtime 2026-09-03 to 2026-09-03, with a expo lead-in and afterglow around those dates. || Promote Days Gone Remastered as the storefront equivalent of PlayStation State of Play September 2026 (PlayStation, Final Fantasy VII Revelation, Marvel's Wolverine, Final Fantasy XIV: Evercold) for the full event runtime 2026-09-03 to 2026-09-03, with a expo lead-in and afterglow around those dates."
9,2026-09-02,Death Stranding,game,Xbox Live,48.0,event_window,,PlayStation State of Play September 2026,"Promote Death Stranding as the storefront equivalent of PlayStation State of Play Japan September 2026 (PlayStation, Japan / Asia studios, The Dream Of A Cockspur) for the full event runtime 2026-09-03 to 2026-09-03, with a expo lead-in and afterglow around those dates. || Promote Death Stranding as the storefront equivalent of PlayStation State of Play September 2026 (PlayStation, Final Fantasy VII Revelation, Marvel's Wolverine, Final Fantasy XIV: Evercold) for the full event runtime 2026-09-03 to 2026-09-03, with a expo lead-in and afterglow around those dates."
10,2026-09-02,Death Stranding 2: On the Beach,game,PlayStation 5,48.0,event_window,,PlayStation State of Play September 2026,"Promote Death Stranding 2: On the Beach as the storefront equivalent of PlayStation State of Play Japan September 2026 (PlayStation, Japan / Asia studios, The Dream Of A Cockspur) for the full event runtime 2026-09-03 to 2026-09-03, with a expo lead-in and afterglow around those dates. || Promote Death Stranding 2: On the Beach as the storefront equivalent of PlayStation State of Play September 2026 (PlayStation, Final Fantasy VII Revelation, Marvel's Wolverine, Final Fantasy XIV: Evercold) for the full event runtime 2026-09-03 to 2026-09-03, with a expo lead-in and afterglow around those dates."
11,2026-09-02,Hashire Hebereke: EX,game,Multi,48.0,event_window,,Hashire Hebereke: EX release window,"Promote Hashire Hebereke: EX as the storefront equivalent of Hashire Hebereke: EX (Hashire Hebereke) for the full event runtime 2026-09-03 to 2026-09-03, with a adaptation lead-in and afterglow around those dates. || Promote Hashire Hebereke: EX as the storefront equivalent of Hashire Hebereke: EX release window (Hashire Hebereke: EX) for the full event runtime 2026-09-03 to 2026-09-17, with a default lead-in and afterglow around those dates."
12,2026-09-02,Intergalactic: The Heretic Prophet,game,PlayStation 5,48.0,event_window,,PlayStation State of Play September 2026,"Promote Intergalactic: The Heretic Prophet as the storefront equivalent of PlayStation State of Play Japan September 2026 (PlayStation, Japan / Asia studios, The Dream Of A Cockspur) for the full event runtime 2026-09-03 to 2026-09-03, with a expo lead-in and afterglow around those dates. || Promote Intergalactic: The Heretic Prophet as the storefront equivalent of PlayStation State of Play September 2026 (PlayStation, Final Fantasy VII Revelation, Marvel's Wolverine, Final Fantasy XIV: Evercold) for the full event runtime 2026-09-03 to 2026-09-03, with a expo lead-in and afterglow around those dates."
13,2026-09-02,Nostalgic Train,game,Multi,48.0,event_window,,Golden Axe,"Promote Nostalgic Train as the storefront equivalent of Nostalgic Train release window (Nostalgic Train) for the full event runtime 2026-08-26 to 2026-09-09, with a default lead-in and afterglow around those dates. || Promote Nostalgic Train as the storefront equivalent of Golden Axe (Golden Axe) for the full event runtime 2026-09-16 to 2026-09-16, with a adaptation lead-in and afterglow around those dates."
14,2026-09-02,Star Ocean: The Second Story R,game,Multi,48.0,event_window,,Gamescom 2026,"Promote Star Ocean: The Second Story R as the storefront equivalent of Future Games Show at Gamescom (Star Ocean: The Second Story R, Dreamin' Her, K-pop Idol Stories: Road to Debut, The Dream Of A Cockspur) for the full event runtime 2026-08-26 to 2026-08-30, with a expo lead-in and afterglow around those dates. || Promote Star Ocean: The Second Story R as the storefront equivalent of Gamescom 2026 (Star Ocean: The Second Story R, Dreamin' Her, K-pop Idol Stories: Road to Debut, The Dream Of A Cockspur) for the full event runtime 2026-08-26 to 2026-08-30, with a expo lead-in and afterglow around those dates."
15,2026-09-02,Resident Evil,game,Steam,31.010299956639813,google_trends,resident evil 2026,,Google Trends (US) lists “resident evil 2026” (200+ searches). Highlight equivalent catalog games today. Related coverage: Resident Evil Popcorn Bucket Gives Horror Fans Their Own Organ Transplant (Yahoo).
