rank,as_of,canonical_title,role,platform,score,sources,trend_title,event,reasons
1,2026-08-20,Fortnite - 5000 V-Bucks Card,game,Epic Games,99.01029995663981,google_trends,fortnite,,"Google Trends (US) lists “is fortnite down” (5000+ searches). Highlight equivalent catalog games today. Related coverage: Fortnite's Upcoming Season Includes Crossovers With Iconic Games (Game Informer). || Google Trends (AU) lists “fortnite servers” (200+ searches). Highlight equivalent catalog games today. Related coverage: Fortnite's Upcoming Season Includes Crossovers With Iconic Games (Game Informer). || Google Trends (GB) lists “fortnite” (100+ searches). Highlight equivalent catalog games today. Related coverage: 'Fortnite' Chapter 7, Season 4 Start-Time, Battle Pass And More (Forbes)."
2,2026-08-20,Fortnite - Honor Guard Skin DLC,game,Epic Games,99.01029995663981,google_trends,fortnite,,"Google Trends (US) lists “is fortnite down” (5000+ searches). Highlight equivalent catalog games today. Related coverage: Fortnite's Upcoming Season Includes Crossovers With Iconic Games (Game Informer). || Google Trends (AU) lists “fortnite servers” (200+ searches). Highlight equivalent catalog games today. Related coverage: Fortnite's Upcoming Season Includes Crossovers With Iconic Games (Game Informer). || Google Trends (GB) lists “fortnite” (100+ searches). Highlight equivalent catalog games today. Related coverage: 'Fortnite' Chapter 7, Season 4 Start-Time, Battle Pass And More (Forbes)."
3,2026-08-20,Octopath Traveler II,game,Multi,78.0,event_window,,Gamescom 2026,"Promote Octopath Traveler II as the storefront equivalent of Gamescom Opening Night Live 2026 (Octopath Traveler II, Digimon UP, Star Ocean: The Second Story R, Dreamin' Her) for the full event runtime 2026-08-25 to 2026-08-25, with a expo lead-in and afterglow around those dates. || Promote Octopath Traveler II as the storefront equivalent of Future Games Show at Gamescom (Octopath Traveler II, Digimon UP, Star Ocean: The Second Story R, Dreamin' Her) for the full event runtime 2026-08-26 to 2026-08-30, with a expo lead-in and afterglow around those dates. || Promote Octopath Traveler II as the storefront equivalent of Gamescom 2026 (Octopath Traveler II, Digimon UP, Star Ocean: The Second Story R, Dreamin' Her) for the full event runtime 2026-08-26 to 2026-08-30, with a expo lead-in and afterglow around those dates."
4,2026-08-20,Fortnite - Baila! Emote DLC,dlc,Epic Games,49.505149978319906,google_trends,fortnite,,"Google Trends (US) lists “is fortnite down” (5000+ searches). Highlight equivalent catalog games today. Related coverage: Fortnite's Upcoming Season Includes Crossovers With Iconic Games (Game Informer). || Google Trends (AU) lists “fortnite servers” (200+ searches). Highlight equivalent catalog games today. Related coverage: Fortnite's Upcoming Season Includes Crossovers With Iconic Games (Game Informer). || Google Trends (GB) lists “fortnite” (100+ searches). Highlight equivalent catalog games today. Related coverage: 'Fortnite' Chapter 7, Season 4 Start-Time, Battle Pass And More (Forbes)."
5,2026-08-20,EA SPORTS Madden NFL 27,game,Steam,18.0,event_window,,Madden NFL 27 release window,"Promote EA SPORTS Madden NFL 27 as the storefront equivalent of Madden NFL 27 release window (Madden NFL 27) for the full event runtime 2026-08-14 to 2026-08-28, with a default lead-in and afterglow around those dates."
6,2026-08-20,EA SPORTS Madden NFL 27 Deluxe Edition,game,Steam,18.0,event_window,,Madden NFL 27 release window,"Promote EA SPORTS Madden NFL 27 Deluxe Edition as the storefront equivalent of Madden NFL 27 release window (Madden NFL 27) for the full event runtime 2026-08-14 to 2026-08-28, with a default lead-in and afterglow around those dates."
7,2026-08-20,Madden NFL 27,game,Nintendo,18.0,event_window,,Madden NFL 27 release window,"Promote Madden NFL 27 as the storefront equivalent of Madden NFL 27 release window (Madden NFL 27) for the full event runtime 2026-08-14 to 2026-08-28, with a default lead-in and afterglow around those dates."
8,2026-08-20,Madden NFL 27 Deluxe Edition,game,PSN,18.0,event_window,,Madden NFL 27 release window,"Promote Madden NFL 27 Deluxe Edition as the storefront equivalent of Madden NFL 27 release window (Madden NFL 27) for the full event runtime 2026-08-14 to 2026-08-28, with a default lead-in and afterglow around those dates."
9,2026-08-20,F1 25 - 2026 Season Edition,game,EA Play,18.0,event_window,,F1 World Championship,"Promote F1 25 - 2026 Season Edition as the storefront equivalent of F1 World Championship (F1) for the full event runtime 2026-03-01 to 2026-12-08, with a sports lead-in and afterglow around those dates."
10,2026-08-20,1666: Amsterdam,game,WIN,18.0,event_window,,1666: Amsterdam release window,"Promote 1666: Amsterdam as the storefront equivalent of 1666: Amsterdam release window (1666: Amsterdam) for the full event runtime 2026-08-25 to 2026-09-08, with a default lead-in and afterglow around those dates."
11,2026-08-20,1998: The Toll Keeper Story,game,PS5,18.0,event_window,,1998: The Toll Keeper Story release window,"Promote 1998: The Toll Keeper Story as the storefront equivalent of 1998: The Toll Keeper Story release window (1998: The Toll Keeper Story) for the full event runtime 2026-08-08 to 2026-08-22, with a default lead-in and afterglow around those dates."
12,2026-08-20,Ace Combat Assault Horizon Enhanced Edition,game,Steam,18.0,event_window,,Horizon Zero Dawn,"Promote Ace Combat Assault Horizon Enhanced Edition as the storefront equivalent of Horizon Zero Dawn (Horizon, The Legend of Heroes: Trails Beyond the Horizon) for the full event runtime 2026-01-01 to 2026-12-31, with a adaptation lead-in and afterglow around those dates."
13,2026-08-20,Agefield High: Rock the School,game,WIN,18.0,event_window,,Agefield High: Rock the School release window,"Promote Agefield High: Rock the School as the storefront equivalent of Agefield High: Rock the School release window (Agefield High: Rock the School) for the full event runtime 2026-08-12 to 2026-08-26, with a default lead-in and afterglow around those dates."
14,2026-08-20,Aggelos II,game,WIN,18.0,event_window,,Aggelos II release window,"Promote Aggelos II as the storefront equivalent of Aggelos II release window (Aggelos II) for the full event runtime 2026-08-27 to 2026-09-10, with a default lead-in and afterglow around those dates."
15,2026-08-20,Aliens: Fireteam Elite 2,game,WIN,18.0,event_window,,Aliens: Fireteam Elite 2 release window,"Promote Aliens: Fireteam Elite 2 as the storefront equivalent of Aliens: Fireteam Elite 2 release window (Aliens: Fireteam Elite 2) for the full event runtime 2026-08-25 to 2026-09-08, with a default lead-in and afterglow around those dates."
