as_of,kind,change_type,title,field,before,after,source,detail
2026-08-26,product,added,A Tiny Wander,presence,,added,wikidata,New product entered the live dataset
2026-08-26,product,added,Aeterna Lucis,presence,,added,wikidata,New product entered the live dataset
2026-08-26,product,added,Alzara: Radiant Echoes,presence,,added,wikidata,New product entered the live dataset
2026-08-26,product,added,Animal Use Protocol,presence,,added,wikidata,New product entered the live dataset
2026-08-26,product,added,Blind Descent,presence,,added,wikidata,New product entered the live dataset
2026-08-26,product,added,Bogdan's Cross,presence,,added,wikidata,New product entered the live dataset
2026-08-26,product,added,Bokosuka Wars II,presence,,added,wikidata,New product entered the live dataset
2026-08-26,product,added,Castaway Diary: Portal to the Unknown Isles,presence,,added,wikidata,New product entered the live dataset
2026-08-26,product,added,Castle Come,presence,,added,wikidata,New product entered the live dataset
2026-08-26,product,added,Control: Ultimate Edition,presence,,added,wikidata,New product entered the live dataset
2026-08-26,product,added,Cosmo Tales,presence,,added,wikidata,New product entered the live dataset
2026-08-26,product,added,Crystals of Irm,presence,,added,wikidata,New product entered the live dataset
2026-08-26,product,added,Destiny Code,presence,,added,wikidata,New product entered the live dataset
2026-08-26,product,added,Do Not Play,presence,,added,wikidata,New product entered the live dataset
2026-08-26,product,added,Don't Kill Them All,presence,,added,wikidata,New product entered the live dataset
2026-08-26,product,added,DriveCrazy,presence,,added,wikidata,New product entered the live dataset
2026-08-26,product,added,EDEN.schemata();,presence,,added,wikidata,New product entered the live dataset
2026-08-26,product,added,Ember & Blade,presence,,added,wikidata,New product entered the live dataset
2026-08-26,product,added,Endurance Motorsport Series,presence,,added,wikidata,New product entered the live dataset
2026-08-26,product,added,Fate/EXTRA Record,presence,,added,wikidata,New product entered the live dataset
2026-08-26,product,added,Final Formation,presence,,added,wikidata,New product entered the live dataset
2026-08-26,product,added,Forge of the Fae,presence,,added,wikidata,New product entered the live dataset
2026-08-26,product,added,Frostrail,presence,,added,wikidata,New product entered the live dataset
2026-08-26,product,added,GrimKeep,presence,,added,wikidata,New product entered the live dataset
2026-08-26,product,added,Haruka: Beyond the Stars,presence,,added,wikidata,New product entered the live dataset
2026-08-26,product,added,Hell of an Office,presence,,added,wikidata,New product entered the live dataset
2026-08-26,product,added,Hunting Simulator 3,presence,,added,wikidata,New product entered the live dataset
2026-08-26,product,added,Ikuma: The Frozen Compass,presence,,added,wikidata,New product entered the live dataset
2026-08-26,product,added,Junxions,presence,,added,wikidata,New product entered the live dataset
2026-08-26,product,added,Light Odyssey,presence,,added,wikidata,New product entered the live dataset
2026-08-26,product,added,Lost Hellden,presence,,added,wikidata,New product entered the live dataset
2026-08-26,product,added,Marvel 1943: Rise of Hydra,presence,,added,wikidata,New product entered the live dataset
2026-08-26,product,added,Mightreya,presence,,added,wikidata,New product entered the live dataset
2026-08-26,product,added,Mononoke no Kuni,presence,,added,wikidata,New product entered the live dataset
2026-08-26,product,added,Nocturnal II,presence,,added,wikidata,New product entered the live dataset
2026-08-26,product,added,Paranormal Activity: Found Footage,presence,,added,wikidata,New product entered the live dataset
